DATE	2021/09/11 13:13:21
ファイル名	Ni_calibration__ANA.txt
元ファイル名	Ni_calibration_.txt
新規	1	(0:新規 1:解析 2:ファイル開く 3:パラメータ保存)
コメント	
磁場単位	2	Oe	(0=emu 1=mT 2=Oe)
磁化単位	0	emu	(0=emu 1=mT 2=Oe 3=emu/g 4=emu/cc)
ステップ数	100
低速区間	100.000	[Oe]
低速ステップ数	100
サンプルレート	10000.000	[Hz]
サンプル数	1000.000
ステップ時間	300.000	[ms/step]
形状選択	0	(0=四角 1=円 2=任意形状)
縦	0.000	[mm]
横	0.000	[mm]
半径	0.000	[mm]
面積	0.000	[mm^2]
厚さ	0.000	[μm]
重量	0.000	[mg]
0:PC 1:ローカル	1
磁場係数	0.000
0:終了後処理なし 1:終了後処理する	1
最大磁場設定値	5.069619265	[V]	10139.239	[Oe]	
測定ステップ幅	5.019619265E-2	[V]
全測定数	802.000
磁場レンジ	10000	[Oe]
測定方法	通常測定
磁化感度	1.000E-1	[emu]
時定数	100.000	[ms]
mGM係数	2.968922000	[Oe/V]
傾き補正	1	(0:補正なし 1:手動補正 2:自動補正)
補正磁場	100.000000000	[Oe]
補正量	-0.000045000	[emu]
自動補正領域	10.000000000	[％]
傾き(自動)	0.000000000
フィルタ処理	0	(0:補正なし 1:手動補正)
フィルタ選択	0	(0:メディアン 1:メディアン＋ローパス 2:移動平均 3:メディアン＋移動平均 4:標準偏差＋移動平均)
メディアン階数	0
標準偏差しきい値	0.000000000
移動平均長さ	0
フィルタ形式	0	(0ベッセル 1:チェビシェフ 2:バターワース 3:チェビシェフpbyp)
低域カットオフ周波数	0.000000000
次数	0
位相ズレ	0
磁場オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁場手動オフセット	0.000000000	[Oe]
磁場自動オフセット	0.000000000	[Oe]
磁化オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁化手動オフセット	0.000000000	[emu]
磁化自動オフセット	0.000000000	[emu]
mGM結合	0	(0:補正なし 1:自動補正)
Ms手動	0.000000000
Hc手動	0.000000000
Mr手動	0.000000000
Mr/Ms手動	0.000000000
Hk手動	0.000000000
Ms自動	0.001689244
Hc自動	32.366480488
Mr自動	0.003283649
Mr/Ms自動	1.943857099
自動Ms領域	10.000000000	[%]








磁場(GM)[V]	磁場(mGM)[V]	磁化[V]	出力強磁界[V]	出力弱磁界[V]	出力したい磁場[Oe]	磁場(GM)[Oe]	磁場(mGM)[Oe]	磁化[emu]	磁場(GM+mGM)[Oe]	磁化(GM+mGM)[emu]	0:mGM 1:GM
0.007813669	16.202189352	-0.095484506	-0.048413782	0.025404434	-84.000000000	15.627338896	19.442627223	-0.004774225	15.627338896	-0.004767193	1.000000000
0.007508121	16.202189352	-0.095918543	-0.049244749	0.025404434	-85.000000000	15.016242678	19.442627223	-0.004795927	15.016242678	-0.004789170	1.000000000
0.006917592	16.202189352	-0.096212066	-0.050075716	0.025404434	-86.000000000	13.835184882	19.442627223	-0.004810603	13.835184882	-0.004804377	1.000000000
0.006344998	16.202189352	-0.096722607	-0.050906682	0.025404434	-87.000000000	12.689996493	19.442627223	-0.004836130	12.689996493	-0.004830420	1.000000000
0.006005555	16.202189352	-0.096976603	-0.051737649	0.025404434	-88.000000000	12.011110388	19.442627223	-0.004848830	12.011110388	-0.004843425	1.000000000
0.005408445	16.202189352	-0.097313223	-0.052568616	0.025404434	-89.000000000	10.816889508	19.442627223	-0.004865661	10.816889508	-0.004860794	1.000000000
0.004863658	16.202189352	-0.097557018	-0.053399583	0.025404434	-90.000000000	9.727315153	19.442627223	-0.004877851	9.727315153	-0.004873474	1.000000000
0.004290734	16.202189352	-0.098176961	-0.054230549	0.025404434	-91.000000000	8.581468610	19.442627223	-0.004908848	8.581468610	-0.004904986	1.000000000
0.003883008	16.202189352	-0.098321810	-0.055061516	0.025404434	-92.000000000	7.766015499	19.442627223	-0.004916091	7.766015499	-0.004912596	1.000000000
0.003288365	16.202189352	-0.098713769	-0.055892483	0.025404434	-93.000000000	6.576730776	19.442627223	-0.004935688	6.576730776	-0.004932729	1.000000000
0.002732719	16.202189352	-0.099023358	-0.056723449	0.025404434	-94.000000000	5.465437331	19.442627223	-0.004951168	5.465437331	-0.004948708	1.000000000
0.002307716	16.202189352	-0.099194984	-0.057554416	0.025404434	-95.000000000	4.615431122	19.442627223	-0.004959749	4.615431122	-0.004957672	1.000000000
0.001790735	16.202189352	-0.099599439	-0.058385383	0.025404434	-96.000000000	3.581470801	19.442627223	-0.004979972	3.581470801	-0.004978360	1.000000000
0.001202510	16.202189352	-0.099711135	-0.059216350	0.025404434	-97.000000000	2.405020086	19.442627223	-0.004985557	2.405020086	-0.004984475	1.000000000
0.000801036	16.202189352	-0.100041891	-0.060047316	0.025404434	-98.000000000	1.602071906	19.442627223	-0.005002095	1.602071906	-0.005001374	1.000000000
0.000307585	16.202189352	-0.100453486	-0.060878283	0.025404434	-99.000000000	0.615169614	19.442627223	-0.005022674	0.615169614	-0.005022397	1.000000000
-0.000248885	16.202189352	-0.100534581	-0.061709250	0.025404434	-100.000000000	-0.497769216	19.442627223	-0.005026729	-0.497769216	-0.005026953	1.000000000
-0.049544144	16.202189352	-0.111916185	-0.145133150	0.025404434	-200.393793755	-99.088287693	19.442627223	-0.005595809	-99.088287693	-0.005640399	1.000000000
-0.099435032	16.202189352	-0.118421889	-0.228557050	0.025404434	-300.787587511	-198.870064701	19.442627223	-0.005921094	-198.870064701	-0.006010586	1.000000000
-0.149545250	16.202189352	-0.122220347	-0.311980950	0.025404434	-401.181381266	-299.090500890	19.442627223	-0.006111017	-299.090500890	-0.006245608	1.000000000
-0.199963649	16.202189352	-0.124687114	-0.395481328	0.025404434	-501.575175021	-399.927297936	19.442627223	-0.006234356	-399.927297936	-0.006414323	1.000000000
-0.250250910	16.202189352	-0.126134583	-0.479020380	0.025404434	-601.968968777	-500.501819977	19.442627223	-0.006306729	-500.501819977	-0.006531955	1.000000000
-0.300906573	16.202189352	-0.127254101	-0.562559433	0.025404434	-702.362762532	-601.813145170	19.442627223	-0.006362705	-601.813145170	-0.006633521	1.000000000
-0.351238423	16.202189352	-0.127428532	-0.646098486	0.025404434	-802.756556288	-702.476846142	19.442627223	-0.006371427	-702.476846142	-0.006687541	1.000000000
-0.401857393	16.202189352	-0.127499681	-0.729541753	0.025404434	-903.150350043	-803.714786250	19.442627223	-0.006374984	-803.714786250	-0.006736656	1.000000000
-0.452257362	16.202189352	-0.127303319	-0.812919599	0.025404434	-1003.544143798	-904.514724344	19.442627223	-0.006365166	-904.514724344	-0.006772198	1.000000000
-0.502784848	16.202189352	-0.126944512	-0.896297446	0.025404434	-1103.937937554	-1005.569696857	19.442627223	-0.006347226	-1005.569696857	-0.006799732	1.000000000
-0.553277452	16.202189352	-0.126356191	-0.979675292	0.025404434	-1204.331731309	-1106.554904725	19.442627223	-0.006317810	-1106.554904725	-0.006815759	1.000000000
-0.603715923	16.202189352	-0.125631437	-1.063047251	0.025404434	-1304.725525064	-1207.431845969	19.442627223	-0.006281572	-1207.431845969	-0.006824916	1.000000000
-0.654154229	16.202189352	-0.124944170	-1.146413694	0.025404434	-1405.119318820	-1308.308457922	19.442627223	-0.006247208	-1308.308457922	-0.006835947	1.000000000
-0.704737329	16.202189352	-0.124194934	-1.229780137	0.025404434	-1505.513112575	-1409.474657552	19.442627223	-0.006209747	-1409.474657552	-0.006844010	1.000000000
-0.755377688	16.202189352	-0.123484205	-1.313146580	0.025404434	-1605.906906331	-1510.755375882	19.442627223	-0.006174210	-1510.755375882	-0.006854050	1.000000000
-0.805884113	16.202189352	-0.122550593	-1.396495730	0.025404434	-1706.300700086	-1611.768225360	19.442627223	-0.006127530	-1611.768225360	-0.006852825	1.000000000
-0.856191610	16.202189352	-0.121610095	-1.479822692	0.025404434	-1806.694493841	-1712.383220570	19.442627223	-0.006080505	-1712.383220570	-0.006851077	1.000000000
-0.906643902	16.202189352	-0.120730291	-1.563149654	0.025404434	-1907.088287597	-1813.287803624	19.442627223	-0.006036515	-1813.287803624	-0.006852494	1.000000000
-0.957252011	16.202189352	-0.119779337	-1.646476615	0.025404434	-2007.482081352	-1914.504022729	19.442627223	-0.005988967	-1914.504022729	-0.006850494	1.000000000
-1.007819809	16.202189352	-0.119017096	-1.729797612	0.025404434	-2107.875875107	-2015.639618019	19.442627223	-0.005950855	-2015.639618019	-0.006857893	1.000000000
-1.058195755	16.202189352	-0.117914663	-1.813107897	0.025404434	-2208.269668863	-2116.391509524	19.442627223	-0.005895733	-2116.391509524	-0.006848109	1.000000000
-1.108819825	16.202189352	-0.117058065	-1.896418181	0.025404434	-2308.663462618	-2217.639649460	19.442627223	-0.005852903	-2217.639649460	-0.006850841	1.000000000
-1.159345172	16.202189352	-0.115934976	-1.979728466	0.025404434	-2409.057256374	-2318.690343334	19.442627223	-0.005796749	-2318.690343334	-0.006840159	1.000000000
-1.209751722	16.202189352	-0.115124282	-2.062998000	0.025404434	-2509.451050129	-2419.503443780	19.442627223	-0.005756214	-2419.503443780	-0.006844991	1.000000000
-1.260336632	16.202189352	-0.114233002	-2.146160925	0.025404434	-2609.844843884	-2520.673264092	19.442627223	-0.005711650	-2520.673264092	-0.006845953	1.000000000
-1.310862308	16.202189352	-0.113111953	-2.229323850	0.025404434	-2710.238637640	-2621.724616971	19.442627223	-0.005655598	-2621.724616971	-0.006835374	1.000000000
-1.361160264	16.202189352	-0.112118922	-2.312486775	0.025404434	-2810.632431395	-2722.320527498	19.442627223	-0.005605946	-2722.320527498	-0.006830990	1.000000000
-1.411629339	16.202189352	-0.111440836	-2.395659696	0.025404434	-2911.026225150	-2823.258678624	19.442627223	-0.005572042	-2823.258678624	-0.006842508	1.000000000
-1.462299646	16.202189352	-0.110290970	-2.478875740	0.025404434	-3011.420018906	-2924.599291508	19.442627223	-0.005514548	-2924.599291508	-0.006830618	1.000000000
-1.512731042	16.202189352	-0.109373169	-2.562091784	0.025404434	-3111.813812661	-3025.462084917	19.442627223	-0.005468658	-3025.462084917	-0.006830116	1.000000000
-1.563199461	16.202189352	-0.108345966	-2.645307828	0.025404434	-3212.207606417	-3126.398921208	19.442627223	-0.005417298	-3126.398921208	-0.006824178	1.000000000
-1.613675119	16.202189352	-0.107903003	-2.728505128	0.025404434	-3312.601400172	-3227.350237465	19.442627223	-0.005395150	-3227.350237465	-0.006847458	1.000000000
-1.664171015	16.202189352	-0.106636341	-2.811538177	0.025404434	-3412.995193927	-3328.342030823	19.442627223	-0.005331817	-3328.342030823	-0.006829571	1.000000000
-1.714477199	16.202189352	-0.105618828	-2.894571225	0.025404434	-3513.388987683	-3428.954398916	19.442627223	-0.005280941	-3428.954398916	-0.006823971	1.000000000
-1.764918305	16.202189352	-0.104764271	-2.977604274	0.025404434	-3613.782781438	-3529.836610945	19.442627223	-0.005238214	-3529.836610945	-0.006826640	1.000000000
-1.815495979	16.202189352	-0.104184875	-3.060637518	0.025404434	-3714.176575193	-3630.991957727	19.442627223	-0.005209244	-3630.991957727	-0.006843190	1.000000000
-1.865955514	16.202189352	-0.103211735	-3.143696024	0.025404434	-3814.570368949	-3731.911027914	19.442627223	-0.005160587	-3731.911027914	-0.006839947	1.000000000
-1.916325870	16.202189352	-0.102245991	-3.226754530	0.025404434	-3914.964162704	-3832.651739117	19.442627223	-0.005112300	-3832.651739117	-0.006836993	1.000000000
-1.966822756	16.202189352	-0.101123157	-3.309813037	0.025404434	-4015.357956460	-3933.645511498	19.442627223	-0.005056158	-3933.645511498	-0.006826298	1.000000000
-2.017309276	16.202189352	-0.100027610	-3.392871543	0.025404434	-4115.751750215	-4034.618552924	19.442627223	-0.005001380	-4034.618552924	-0.006816959	1.000000000
-2.067654130	16.202189352	-0.099339068	-3.475907884	0.025404434	-4216.145543970	-4135.308259879	19.442627223	-0.004966953	-4135.308259879	-0.006827842	1.000000000
-2.118265701	16.202189352	-0.098431212	-3.558942145	0.025404434	-4316.539337726	-4236.531401869	19.442627223	-0.004921561	-4236.531401869	-0.006828000	1.000000000
-2.168768019	16.202189352	-0.097297157	-3.641976405	0.025404434	-4416.933131481	-4337.536037667	19.442627223	-0.004864858	-4337.536037667	-0.006816749	1.000000000
-2.219249770	16.202189352	-0.096353344	-3.725010666	0.025404434	-4517.326925236	-4438.499539894	19.442627223	-0.004817667	-4438.499539894	-0.006814992	1.000000000
-2.269528646	16.202189352	-0.096009073	-3.807911773	0.025404434	-4617.720718992	-4539.057291101	19.442627223	-0.004800454	-4539.057291101	-0.006843029	1.000000000
-2.320034256	16.202189352	-0.095122384	-3.890783549	0.025404434	-4718.114512747	-4640.068511779	19.442627223	-0.004756119	-4640.068511779	-0.006844150	1.000000000
-2.370353280	16.202189352	-0.094191067	-3.973655324	0.025404434	-4818.508306503	-4740.706560150	19.442627223	-0.004709553	-4740.706560150	-0.006842871	1.000000000
-2.420791102	16.202189352	-0.093448206	-4.056527100	0.025404434	-4918.902100258	-4841.582203465	19.442627223	-0.004672410	-4841.582203465	-0.006851122	1.000000000
-2.471185157	16.202189352	-0.092488072	-4.139386476	0.025404434	-5019.295894013	-4942.370313529	19.442627223	-0.004624404	-4942.370313529	-0.006848470	1.000000000
-2.521696199	16.202189352	-0.091381049	-4.222240952	0.025404434	-5119.689687769	-5043.392398780	19.442627223	-0.004569052	-5043.392398780	-0.006838579	1.000000000
-2.572156071	16.202189352	-0.090836591	-4.305095428	0.025404434	-5220.083481524	-5144.312142392	19.442627223	-0.004541830	-5144.312142392	-0.006856770	1.000000000
-2.622557862	16.202189352	-0.090125862	-4.387949904	0.025404434	-5320.477275279	-5245.115723159	19.442627223	-0.004506293	-5245.115723159	-0.006866595	1.000000000
-2.672845792	16.202189352	-0.089055816	-4.470729758	0.025404434	-5420.871069035	-5345.691583950	19.442627223	-0.004452791	-5345.691583950	-0.006858352	1.000000000
-2.723279998	16.202189352	-0.088103078	-4.553462537	0.025404434	-5521.264862790	-5446.559995842	19.442627223	-0.004405154	-5446.559995842	-0.006856106	1.000000000
-2.773725229	16.202189352	-0.087574175	-4.636195315	0.025404434	-5621.658656546	-5547.450457431	19.442627223	-0.004378709	-5547.450457431	-0.006875061	1.000000000
-2.824109252	16.202189352	-0.086874667	-4.718928094	0.025404434	-5722.052450301	-5648.218503866	19.442627223	-0.004343733	-5648.218503866	-0.006885432	1.000000000
-2.874490643	16.202189352	-0.086046122	-4.801690379	0.025404434	-5822.446244056	-5748.981286669	19.442627223	-0.004302306	-5748.981286669	-0.006889348	1.000000000
-2.924877959	16.202189352	-0.085199725	-4.884481753	0.025404434	-5922.840037812	-5849.755917897	19.442627223	-0.004259986	-5849.755917897	-0.006892376	1.000000000
-2.975246847	16.202189352	-0.084335477	-4.967273126	0.025404434	-6023.233831567	-5950.493694163	19.442627223	-0.004216774	-5950.493694163	-0.006894496	1.000000000
-3.025652757	16.202189352	-0.083871603	-5.050064500	0.025404434	-6123.627625322	-6051.305514532	19.442627223	-0.004193580	-6051.305514532	-0.006916668	1.000000000
-3.076279973	16.202189352	-0.082852050	-5.132781451	0.025404434	-6224.021419078	-6152.559945549	19.442627223	-0.004142603	-6152.559945549	-0.006911254	1.000000000
-3.126592756	16.202189352	-0.082178044	-5.215385293	0.025404434	-6324.415212833	-6253.185511790	19.442627223	-0.004108902	-6253.185511790	-0.006922836	1.000000000
-3.176844332	16.202189352	-0.081672603	-5.297989135	0.025404434	-6424.809006589	-6353.688663143	19.442627223	-0.004083630	-6353.688663143	-0.006942790	1.000000000
-3.227309479	16.202189352	-0.080725220	-5.380592976	0.025404434	-6525.202800344	-6454.618958651	19.442627223	-0.004036261	-6454.618958651	-0.006940840	1.000000000
-3.277648098	16.202189352	-0.080313880	-5.463210299	0.025404434	-6625.596594099	-6555.296195688	19.442627223	-0.004015694	-6555.296195688	-0.006965577	1.000000000
-3.328143029	16.202189352	-0.079462127	-5.545862144	0.025404434	-6725.990387855	-6656.286058097	19.442627223	-0.003973106	-6656.286058097	-0.006968435	1.000000000
-3.378509292	16.202189352	-0.078667244	-5.628513990	0.025404434	-6826.384181610	-6757.018584106	19.442627223	-0.003933362	-6757.018584106	-0.006974021	1.000000000
-3.429106568	16.202189352	-0.078089633	-5.711165836	0.025404434	-6926.777975365	-6858.213136669	19.442627223	-0.003904482	-6858.213136669	-0.006990678	1.000000000
-3.479606603	16.202189352	-0.077774179	-5.793798503	0.025404434	-7027.171769121	-6959.213206674	19.442627223	-0.003888709	-6959.213206674	-0.007020355	1.000000000
-3.529918407	16.202189352	-0.077023668	-5.876335632	0.025404434	-7127.565562876	-7059.836814409	19.442627223	-0.003851183	-7059.836814409	-0.007028110	1.000000000
-3.580245350	16.202189352	-0.076069654	-5.958872761	0.025404434	-7227.959356632	-7160.490699430	19.442627223	-0.003803483	-7160.490699430	-0.007025704	1.000000000
-3.630592696	16.202189352	-0.075573649	-6.041409890	0.025404434	-7328.353150387	-7261.185392255	19.442627223	-0.003778682	-7261.185392255	-0.007046216	1.000000000
-3.681016719	16.202189352	-0.075142417	-6.123945606	0.025404434	-7428.746944142	-7362.033437369	19.442627223	-0.003757121	-7362.033437369	-0.007070036	1.000000000
-3.731549338	16.202189352	-0.074508958	-6.206453208	0.025404434	-7529.140737898	-7463.098675824	19.442627223	-0.003725448	-7463.098675824	-0.007083842	1.000000000
-3.782001499	16.202189352	-0.073885445	-6.288960810	0.025404434	-7629.534531653	-7564.002997826	19.442627223	-0.003694272	-7564.002997826	-0.007098074	1.000000000
-3.832537247	16.202189352	-0.073361388	-6.371468411	0.025404434	-7729.928325408	-7665.074493510	19.442627223	-0.003668069	-7665.074493510	-0.007117353	1.000000000
-3.882939061	16.202189352	-0.072711608	-6.453976013	0.025404434	-7830.322119164	-7765.878122679	19.442627223	-0.003635580	-7765.878122679	-0.007130226	1.000000000
-3.933381847	16.202189352	-0.072167915	-6.536502847	0.025404434	-7930.715912919	-7866.763694582	19.442627223	-0.003608396	-7866.763694582	-0.007148439	1.000000000
-3.983869883	16.202189352	-0.071400062	-6.619031195	0.025404434	-8031.109706675	-7967.739765277	19.442627223	-0.003570003	-7967.739765277	-0.007155486	1.000000000
-4.034238464	16.202189352	-0.071023914	-6.701559543	0.025404434	-8131.503500430	-8068.476928366	19.442627223	-0.003551196	-8068.476928366	-0.007182010	1.000000000
-4.084854842	16.202189352	-0.070442479	-6.784087891	0.025404434	-8231.897294185	-8169.709684580	19.442627223	-0.003522124	-8169.709684580	-0.007198493	1.000000000
-4.135336629	16.202189352	-0.070155076	-6.866789348	0.025404434	-8332.291087941	-8270.673258151	19.442627223	-0.003507754	-8270.673258151	-0.007229557	1.000000000
-4.186015205	16.202189352	-0.069425476	-6.949532155	0.025404434	-8432.684881696	-8372.030410976	19.442627223	-0.003471274	-8372.030410976	-0.007238687	1.000000000
-4.236557545	16.202189352	-0.068997305	-7.032274961	0.025404434	-8533.078675451	-8473.115090461	19.442627223	-0.003449865	-8473.115090461	-0.007262767	1.000000000
-4.287125390	16.202189352	-0.068742289	-7.115017767	0.025404434	-8633.472469207	-8574.250779722	19.442627223	-0.003437114	-8574.250779722	-0.007295527	1.000000000
-4.337765797	16.202189352	-0.067708711	-7.197879832	0.025404434	-8733.866262962	-8675.531594950	19.442627223	-0.003385436	-8675.531594950	-0.007289425	1.000000000
-4.388642484	16.202189352	-0.067162977	-7.280793479	0.025404434	-8834.260056718	-8777.284968242	19.442627223	-0.003358149	-8777.284968242	-0.007307927	1.000000000
-4.439227445	16.202189352	-0.067050770	-7.363707125	0.025404434	-8934.653850473	-8878.454890172	19.442627223	-0.003352539	-8878.454890172	-0.007347843	1.000000000
-4.490111045	16.202189352	-0.066478770	-7.446620771	0.025404434	-9035.047644228	-8980.222090626	19.442627223	-0.003323939	-8980.222090626	-0.007365038	1.000000000
-4.540840474	16.202189352	-0.065588511	-7.529796171	0.025404434	-9135.441437984	-9081.680948526	19.442627223	-0.003279426	-9081.680948526	-0.007366182	1.000000000
-4.591923828	16.202189352	-0.064892573	-7.613147957	0.025404434	-9235.835231739	-9183.847655118	19.442627223	-0.003244629	-9183.847655118	-0.007377360	1.000000000
-4.642689294	16.202189352	-0.064466697	-7.696499743	0.025404434	-9336.229025494	-9285.378587152	19.442627223	-0.003223335	-9285.378587152	-0.007401755	1.000000000
-4.693328066	16.202189352	-0.064079328	-7.779851528	0.025404434	-9436.622819250	-9386.656132657	19.442627223	-0.003203966	-9386.656132657	-0.007427962	1.000000000
-4.744334914	16.202189352	-0.063291075	-7.863585403	0.025404434	-9537.016613005	-9488.669827701	19.442627223	-0.003164554	-9488.669827701	-0.007434455	1.000000000
-4.795837189	16.202189352	-0.062722900	-7.947674350	0.025404434	-9637.410406760	-9591.674378392	19.442627223	-0.003136145	-9591.674378392	-0.007452398	1.000000000
-4.847055472	16.202189352	-0.061752820	-8.031763297	0.025404434	-9737.804200516	-9694.110944640	19.442627223	-0.003087641	-9694.110944640	-0.007449991	1.000000000
-4.898006546	16.202189352	-0.061113241	-8.115852244	0.025404434	-9838.197994271	-9796.013092340	19.442627223	-0.003055662	-9796.013092340	-0.007463868	1.000000000
-4.949483488	16.202189352	-0.060564447	-8.200558878	0.025404434	-9938.591788027	-9898.966975253	19.442627223	-0.003028222	-9898.966975253	-0.007482758	1.000000000
-5.001339035	16.202189352	-0.059879985	-8.285948251	0.025404434	-10038.985581782	-10002.678069116	19.442627223	-0.002993999	-10002.678069116	-0.007495204	1.000000000
-5.053197874	16.202189352	-0.058818355	-8.371337625	0.025404434	-10139.379375537	-10106.395748117	19.442627223	-0.002940918	-10106.395748117	-0.007488796	1.000000000
-5.054620641	16.202189352	-0.059048124	-8.371337625	0.025404434	-10139.379375537	-10109.241281854	19.442627223	-0.002952406	-10109.241281854	-0.007501565	1.000000000
-5.005053662	16.202189352	-0.059737176	-8.285948251	0.025404434	-10038.985581782	-10010.107324053	19.442627223	-0.002986859	-10010.107324053	-0.007491407	1.000000000
-4.954292791	16.202189352	-0.060613155	-8.200558878	0.025404434	-9938.591788027	-9908.585582853	19.442627223	-0.003030658	-9908.585582853	-0.007489521	1.000000000
-4.903734141	16.202189352	-0.061347090	-8.115852244	0.025404434	-9838.197994271	-9807.468281343	19.442627223	-0.003067355	-9807.468281343	-0.007480715	1.000000000
-4.853388405	16.202189352	-0.061880073	-8.031763297	0.025404434	-9737.804200516	-9706.776809480	19.442627223	-0.003094004	-9706.776809480	-0.007462053	1.000000000
-4.802628197	16.202189352	-0.062403365	-7.947674350	0.025404434	-9637.410406760	-9605.256394618	19.442627223	-0.003120168	-9605.256394618	-0.007442534	1.000000000
-4.751693910	16.202189352	-0.063224006	-7.863585403	0.025404434	-9537.016613005	-9503.387819030	19.442627223	-0.003161200	-9503.387819030	-0.007437725	1.000000000
-4.701112394	16.202189352	-0.063509368	-7.779851528	0.025404434	-9436.622819250	-9402.224788839	19.442627223	-0.003175468	-9402.224788839	-0.007406470	1.000000000
-4.650816520	16.202189352	-0.064497299	-7.696499743	0.025404434	-9336.229025494	-9301.633040326	19.442627223	-0.003224865	-9301.633040326	-0.007410600	1.000000000
-4.600197329	16.202189352	-0.065231999	-7.613147957	0.025404434	-9235.835231739	-9200.394657665	19.442627223	-0.003261600	-9200.394657665	-0.007401778	1.000000000
-4.549515779	16.202189352	-0.065647419	-7.529796171	0.025404434	-9135.441437984	-9099.031557733	19.442627223	-0.003282371	-9099.031557733	-0.007376935	1.000000000
-4.498993998	16.202189352	-0.066392575	-7.446620771	0.025404434	-9035.047644228	-8997.987995061	19.442627223	-0.003319629	-8997.987995061	-0.007368723	1.000000000
-4.448364280	16.202189352	-0.066733276	-7.363707125	0.025404434	-8934.653850473	-8896.728560577	19.442627223	-0.003336664	-8896.728560577	-0.007340192	1.000000000
-4.397804987	16.202189352	-0.067447320	-7.280793479	0.025404434	-8834.260056718	-8795.609974198	19.442627223	-0.003372366	-8795.609974198	-0.007330390	1.000000000
-4.347257707	16.202189352	-0.067768895	-7.197879832	0.025404434	-8733.866262962	-8694.515413383	19.442627223	-0.003388445	-8694.515413383	-0.007300977	1.000000000
-4.296691341	16.202189352	-0.068523231	-7.115017767	0.025404434	-8633.472469207	-8593.382682457	19.442627223	-0.003426162	-8593.382682457	-0.007293184	1.000000000
-4.246385771	16.202189352	-0.068824914	-7.032274961	0.025404434	-8533.078675451	-8492.771542051	19.442627223	-0.003441246	-8492.771542051	-0.007262993	1.000000000
-4.195862188	16.202189352	-0.069397680	-6.949532155	0.025404434	-8432.684881696	-8391.724376853	19.442627223	-0.003469884	-8391.724376853	-0.007246160	1.000000000
-4.145287600	16.202189352	-0.069915871	-6.866789348	0.025404434	-8332.291087941	-8290.575200406	19.442627223	-0.003495794	-8290.575200406	-0.007226552	1.000000000
-4.094906511	16.202189352	-0.070277994	-6.784087891	0.025404434	-8231.897294185	-8189.813021664	19.442627223	-0.003513900	-8189.813021664	-0.007199316	1.000000000
-4.044369276	16.202189352	-0.070863509	-6.701559543	0.025404434	-8131.503500430	-8088.738551141	19.442627223	-0.003543175	-8088.738551141	-0.007183108	1.000000000
-3.993910691	16.202189352	-0.071596169	-6.619031195	0.025404434	-8031.109706675	-7987.821382217	19.442627223	-0.003579808	-7987.821382217	-0.007174328	1.000000000
-3.943577815	16.202189352	-0.072078149	-6.536502847	0.025404434	-7930.715912919	-7887.155630960	19.442627223	-0.003603907	-7887.155630960	-0.007153127	1.000000000
-3.893183897	16.202189352	-0.072631533	-6.453976013	0.025404434	-7830.322119164	-7786.367794524	19.442627223	-0.003631577	-7786.367794524	-0.007135442	1.000000000
-3.842941685	16.202189352	-0.073044658	-6.371468411	0.025404434	-7729.928325408	-7685.883369873	19.442627223	-0.003652233	-7685.883369873	-0.007110880	1.000000000
-3.792443945	16.202189352	-0.073663326	-6.288960810	0.025404434	-7629.534531653	-7584.887890553	19.442627223	-0.003683166	-7584.887890553	-0.007096366	1.000000000
-3.742008073	16.202189352	-0.074376350	-6.206453208	0.025404434	-7529.140737898	-7484.016146714	19.442627223	-0.003718818	-7484.016146714	-0.007086625	1.000000000
-3.691391704	16.202189352	-0.074965691	-6.123945606	0.025404434	-7428.746944142	-7382.783407420	19.442627223	-0.003748285	-7382.783407420	-0.007070537	1.000000000
-3.641112146	16.202189352	-0.075533611	-6.041409890	0.025404434	-7328.353150387	-7282.224291710	19.442627223	-0.003776681	-7282.224291710	-0.007053681	1.000000000
-3.590824691	16.202189352	-0.076129583	-5.958872761	0.025404434	-7227.959356632	-7181.649382554	19.442627223	-0.003806479	-7181.649382554	-0.007038221	1.000000000
-3.540361511	16.202189352	-0.076635024	-5.876335632	0.025404434	-7127.565562876	-7080.723021071	19.442627223	-0.003831751	-7080.723021071	-0.007018077	1.000000000
-3.490053984	16.202189352	-0.077324076	-5.793798503	0.025404434	-7027.171769121	-6980.107968898	19.442627223	-0.003866204	-6980.107968898	-0.007007252	1.000000000
-3.439611867	16.202189352	-0.077972836	-5.711165836	0.025404434	-6926.777975365	-6879.223733654	19.442627223	-0.003898642	-6879.223733654	-0.006994292	1.000000000
-3.388990568	16.202189352	-0.078631541	-5.628513990	0.025404434	-6826.384181610	-6777.981135373	19.442627223	-0.003931577	-6777.981135373	-0.006981669	1.000000000
-3.338672021	16.202189352	-0.079274946	-5.545862144	0.025404434	-6725.990387855	-6677.344041346	19.442627223	-0.003963747	-6677.344041346	-0.006968552	1.000000000
-3.288174457	16.202189352	-0.079874743	-5.463210299	0.025404434	-6625.596594099	-6576.348913282	19.442627223	-0.003993737	-6576.348913282	-0.006953094	1.000000000
-3.237982277	16.202189352	-0.080674727	-5.380592976	0.025404434	-6525.202800344	-6475.964554591	19.442627223	-0.004033736	-6475.964554591	-0.006947920	1.000000000
